Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date
ACCID500,456300,448490,-1.144043,53.929484,2,4,1,12/01/2005
ACCID501,461990,456920,-1.055686,54.004593,3,2,1,13/01/2005
ACCID502,457610,454930,-1.12288,53.987216,2,3,1,13/01/2005
ACCID503,460210,452410,-1.08373,53.964273,3,2,1,13/01/2005
ACCID504,452730,454120,-1.197437,53.980456,3,1,1,14/01/2005
ACCID505,457880,449480,-1.119796,53.938207,3,2,1,14/01/2005
ACCID506,456230,453150,-1.144252,53.971371,3,2,1,14/01/2005
ACCID507,460900,450730,-1.073549,53.949095,3,2,1,15/01/2005
ACCID508,461540,460280,-1.061872,54.034842,2,2,2,15/01/2005
ACCID509,463620,456370,-1.030935,53.999452,2,1,1,18/01/2005
ACCID510,459410,457350,-1.094961,54.00876,3,3,3,18/01/2005
ACCID511,454210,446890,-1.176153,53.915328,3,1,1,19/01/2005
ACCID512,463170,451270,-1.038855,53.953676,3,2,1,19/01/2005
